Name,house,latitude,longitude,date,deal,size,price_sqrt,price
Affan,7875009,25.091001950941056,55.268359381531106,2023-09-22,False,1521,1354.0,2059434.0
Daud,3805758,25.091001950941056,55.268359381531106,2023-06-14,False,1450,1336.0,1937200.0
Aminah,2145659,25.091001950941056,55.268359381531106,2023-07-25,False,1180,1266.0,1493880.0
Barak,2572414,25.091001950941056,55.268359381531106,2023-11-05,False,1582,1370.0,2167340.0
Afif,1268569,25.091001950941056,55.268359381531106,2023-03-16,False,759,1157.0,878163.0
Dina,8854516,25.091001950941056,55.268359381531106,2023-07-31,False,5232,2312.0,12096384.0
Gathbiyya,3960651,25.091001950941056,55.268359381531106,2023-07-16,False,1071,1238.0,1325898.0
Basira,2565268,25.091001950941056,55.268359381531106,2023-07-31,False,1360,1313.0,1785680.0
Ghadir,6140633,25.091001950941056,55.268359381531106,2023-08-11,False,1221,1277.0,1559217.0
Dina,8387088,25.091001950941056,55.268359381531106,2023-07-14,False,1672,1393.0,2329096.0
'Aamir,3032587,25.091001950941056,55.268359381531106,2023-12-11,False,609,1119.0,681471.0
Abd ar-Rashid,6088206,25.091001950941056,55.268359381531106,2023-06-24,False,894,1192.0,1065648.0
Balqis,5551449,25.091001950941056,55.268359381531106,2023-05-20,False,539,1101.0,593439.0
Abrar,1655589,25.091001950941056,55.268359381531106,2023-01-01,False,2314,1559.0,3607526.0
Abu,7246486,25.091001950941056,55.268359381531106,2023-06-05,False,774,1161.0,898614.0
Afzal,3564602,25.091001950941056,55.268359381531106,2023-11-22,False,1582,1370.0,2167340.0
Ayyub,5360293,25.091001950941056,55.268359381531106,2023-08-24,False,1209,1274.0,1540266.0
Faris,2491792,25.091001950941056,55.268359381531106,2023-09-13,False,2024,1484.0,3003616.0
Anass,2004988,25.091001950941056,55.268359381531106,2023-05-17,False,1672,1393.0,2329096.0
Furqan,3141086,25.091001950941056,55.268359381531106,2023-02-23,False,774,1161.0,898614.0
Ansar,1300451,25.091001950941056,55.268359381531106,2023-10-13,False,1071,1238.0,1325898.0
Aaminah,9858915,25.091001950941056,55.268359381531106,2023-02-02,False,3930,1976.0,7765680.0
Dalia,4998799,25.091001950941056,55.268359381531106,2023-09-05,False,2574,1626.0,4185324.0
Adel,4588666,25.091001950941056,55.268359381531106,2023-08-30,False,2574,1626.0,4185324.0
Aaminah,9728147,25.091001950941056,55.268359381531106,2023-09-09,False,1786,1422.0,2539692.0
Abbas,4236679,25.091001950941056,55.268359381531106,2023-08-10,False,1185,1267.0,1501395.0
Fayiz,7642930,25.091001950941056,55.268359381531106,2023-11-16,False,3930,1976.0,7765680.0
Afaf,2612284,25.091001950941056,55.268359381531106,2023-10-28,False,1176,1265.0,1487640.0
Atallah,2751280,25.091001950941056,55.268359381531106,2023-12-03,False,1360,1313.0,1785680.0
As'ad,1333767,25.091001950941056,55.268359381531106,2023-01-08,False,938,1204.0,1129352.0
Fatma,2521077,25.091001950941056,55.268359381531106,2023-12-29,False,2310,1558.0,3598980.0
Fatimah,2024635,25.091001950941056,55.268359381531106,2023-09-28,False,1015,1223.0,1241345.0
Atiya,7308984,25.091001950941056,55.268359381531106,2023-04-15,False,1176,1265.0,1487640.0
Gamal,5886001,25.091001950941056,55.268359381531106,2023-11-04,False,1079,1240.0,1337960.0
Abd al-Rahim,5216231,25.091001950941056,55.268359381531106,2023-02-09,False,775,1161.0,899775.0
Ammar,5640490,25.091001950941056,55.268359381531106,2023-02-13,False,900,1194.0,1074600.0
Akram,5954068,25.091001950941056,55.268359381531106,2023-06-03,False,1360,1313.0,1785680.0
Abd al-Salam,9591615,25.091001950941056,55.268359381531106,2023-06-10,False,3930,1976.0,7765680.0
Bassem,4481976,25.091001950941056,55.268359381531106,2023-04-07,False,1672,1393.0,2329096.0
Anis,6901427,25.091001950941056,55.268359381531106,2023-11-21,True,999,1219.0,1217781.0
Abdur Rashid,8333742,25.091001950941056,55.268359381531106,2023-11-30,False,1974,1471.0,2903754.0
Eesa,9280516,25.091001950941056,55.268359381531106,2023-02-09,False,5232,2312.0,12096384.0
Faruk,8304401,25.091001950941056,55.268359381531106,2023-10-14,False,1079,1240.0,1337960.0
Faiza,2944872,25.091001950941056,55.268359381531106,2023-12-06,False,1440,1333.0,1919520.0
Atuf,1386816,25.091001950941056,55.268359381531106,2023-08-17,False,5232,2312.0,12096384.0
Fahd,1838097,25.091001950941056,55.268359381531106,2023-03-14,False,1358,1312.0,1781696.0
Amirah,9219759,25.091001950941056,55.268359381531106,2023-11-21,False,1180,1266.0,1493880.0
Ghufran,6845151,25.091001950941056,55.268359381531106,2023-08-04,False,1071,1238.0,1325898.0
